x	Hv(x)
-10	-0.11874368
-9.8	-0.1688637
-9.6	-0.21583221
-9.4	-0.2577659
-9.2	-0.2929435
-9	-0.319876
-8.8	-0.33736941
-8.6	-0.344577454
-8.4	-0.3410418
-8.2	-0.32671833
-8	-0.30198811
-7.8	-0.2676524
-7.6	-0.22491155
-7.4	-0.17532862
-7.2	-0.120778242
-7	-0.06338296
-6.8	-0.005438913
-6.6	0.05066653
-6.4	0.1025421815
-6.2	0.14788244
-6	0.18455534
-5.8	0.210686053
-5.6	0.224732661
-5.4	0.225551331
-5.2	0.212448334
-5	0.1852168158
-4.8	0.144156747
-4.6	0.090077084
-4.4	0.024279788
-4.2	-0.051473986
-4	-0.135014573
-3.8	-0.223829777
-3.6	-0.315144013
-3.4	-0.406007966
-3.2	-0.493395739
-3	-0.574306149
-2.8	-0.645864648
-2.6	-0.7054223265
-2.4	-0.750648481
-2.2	-0.779613465
-2	-0.79085885
-1.8	-0.783452347
-1.6	-0.757025469
-1.4	-0.711792493
-1.2	-0.648549966
-1	-0.568656627
-0.8	-0.473994357
-0.6	-0.366911395
-0.4	-0.2501497139
-0.2	-0.1267589749
0	0
0.2	0.1267589749
0.4	0.2501497139
0.6	0.366911395
0.8	0.473994357
1	0.568656627
1.2	0.648549966
1.4	0.711792493
1.6	0.757025469
1.8	0.783452347
2	0.79085885
2.2	0.779613465
2.4	0.750648481
2.6	0.7054223265
2.8	0.645864648
3	0.574306149
3.2	0.493395739
3.4	0.406007966
3.6	0.315144013
3.8	0.223829777
4	0.135014573
4.2	0.051473986
4.4	-0.024279788
4.6	-0.090077084
4.8	-0.144156747
5	-0.1852168158
5.2	-0.212448334
5.4	-0.225551331
5.6	-0.224732661
5.8	-0.210686053
6	-0.18455534
6.2	-0.14788244
6.4	-0.1025421815
6.6	-0.05066653
6.8	0.005438913
7	0.06338296
7.2	0.120778242
7.4	0.17532862
7.6	0.22491155
7.8	0.2676524
8	0.30198811
8.2	0.32671833
8.4	0.3410418
8.6	0.344577454
8.8	0.33736941
9	0.319876
9.2	0.2929435
9.4	0.2577659
9.6	0.21583221
9.8	0.1688637
10	0.11874368
