(0,10),(0,0),(0,0),2,12,2,F,   'ARDILL: J,H(1)'
(0,15),(0,0),(0,0),2,12,2,F,   'ARDILL: J,H(1),?'
(.01,0),(0,0),(0.2,0),11,-1,3,F,   'CAMPBELL: I,K'
(12.2,13.3),(0,0),(0.1,0),31,-2,3,F,   'CAMPBELL: I,K'
(0,19.2),(0,0),(0.728,0),11,-2,3,F,   'CAMPBELL: I'
(.01,0),(0,0),(0.10,0),11,2,2,F,   'CAMPBELL: J,Y'
(20,-.001),(0,0),(0,0),11,2,1,F,   'LENTZ: J,Y SPH.BESSEL'
(20,-100),(0,0),(0,0),11,2,1,F,   'LENTZ: J,Y SPH.BESSEL'
(1000,-10),(0,0),(0,0),11,2,1,F,   'LENTZ: J,Y SPH.BESSEL'
(20,0),(15,0),(0,0),1,2,0,F,   'KLEIN: WKB#1'
(80,0),(50,0),(0,0),1,2,0,F,   'KLEIN: WKB#2'
(20,0),(10,0),(1,0),1,2,0,F,   'KLEIN: WKB#3'
(.001,0),(50,0),(0,0),1,2,0,F,   'KLEIN: WKB'
(0.238,0),(50,0),(1,0),1,2,0,F,   'KLEIN: WKB'
(1999,0),(1000,0),(0,0),1,2,0,F,   'KLEIN: WKB'
(10,0),(10,0),(10,0),1,1,0,F,   'KLEIN'
(8.4751695,-.28219245),(3.3281266,.11081456),(5,0),1,1,0,F,'TAMURA 1,3'
(4.914581,-.48663942), (5.6899111,.56341223),(10,0),1,1,0,F,'TAMURA #6'
(45,0),(9,0),(18,0),1,1,0,F, 'TAKEMASA 1.1'
(45,0),(9,0),(17.3083637,3.2538931),1,1,0,F, 'TAKEMASA 1.2'
(45,0),(9,0),(6.000,6.92820323),  1,1,0,F, 'TAKEMASA 1.6'
(25,0),(9,0),(17.3083637,3.2538931),1,1,0,F, 'TAKEMASA 2.2'
(25,0),(9,0),(6.000,6.92820323),  1,1,0,F, 'TAKEMASA 2.6'
(.5,0),(.25,0),(0,0),1,1,-1,F, 'BARNETT: COULFG H.P.'
(1.0,0),(1.,0),(0,0),1,1,-1,F, 'BARNETT: COULFG H.P.'
(68.,0),(32,0),(0,0),1,1,-1,F, 'BARNETT: COULFG H.P.'
(0,37.5),(0,6.66666666666),(0,0),31,12,-1,T,'BELL&SCOTT: WHIT#3'
(0,12.8),(0,5),(0,0),11,12,0,T,'B&S#2 BOUND STATES'
(0,31.62277660),(0,.6324555321),(0,0),11,12,-1,T, 'NOBLE & IJT, #1'
(0,26.47640459),(0,.7553895746),(0,0),11,11,-1,T, 'NOBLE & IJT, #2'
(0,3.984184201314),(0,13.8045826249),(0,0),11,12,-1,T, 'NOBLE & IJT #6'
(0,0.1),(0,-1),(0,0),3,12,-1,T,  'HEBBARD&ROBSON: WHIT'
(0,0.1),(0,-10),(0,0),2,12,-1,T,  'HEBBARD&ROBSON: WHIT'
(0,3.0),(0,-1),(0,0),3,12,-1,T,  'HEBBARD&ROBSON: WHIT'
(0,3.0),(0,-10),(0,0),3,12,-1,T,  'HEBBARD&ROBSON: WHIT'
(0,18.),(0,-10),(0,0),3,12,-1,T,  'HEBBARD&ROBSON: WHIT'
(-.7,.7),   (0,0),(0,-20),11,-2, 2,F,   'SHOULD USE -X RULES'
(-1,1),   (0,0),(-30,0),61,-2, 2,F,   'SHOULD USE -L RULES'
(-1,1),   (0,0),(-30.1,0),61,-2, 2,F,   'SHOULD USE -L RULES'
(60,0),(50,0),(0,0),200,2,0,F,   'EXP RANGE (LARGE L)'
(0,100),(0,10),(0,0),51,-12,0,T,'POLES & INSTABITIES'
(920,0),(500,0),(1,0),1,2,0,F,   '1F1 OVERFLOW'
(30000,0),(150,0),(1,0),1,2,0,F,   'NO CF1 CONVERGENCE'
(0,0),(0,0),(0,0),0,0,0,F,   ' '
(1920,0),(1000,0),(0,0),1,2,0,F,   'KLEIN: WKB'

